Date,Max_Temp,Min_Temp,Rainfall,Max_Wind,Sunshine_Duration
2022-01-01,25.5,19.5,14.3,13.3,17634.44
2022-01-02,27.5,18.4,2.6,21.1,48883.74
2022-01-03,28.7,19.4,0.0,23.7,42298.08
2022-01-04,30.4,21.7,3.6,27.9,49152.16
2022-01-05,28.4,21.5,2.2,20.6,35602.7
2022-01-06,28.1,22.2,6.2,23.1,41702.31
2022-01-07,25.3,22.7,20.2,23.1,9446.53
2022-01-08,25.9,22.6,9.5,15.9,6031.53
2022-01-09,28.1,22.2,3.3,15.9,47879.92
2022-01-10,28.9,21.0,0.0,15.7,49020.93
2022-01-11,28.5,20.3,0.7,18.7,46766.44
2022-01-12,28.2,18.0,0.7,17.9,45796.58
2022-01-13,28.6,19.1,0.6,15.9,48323.84
2022-01-14,27.2,17.4,3.7,15.5,48825.62
2022-01-15,28.9,19.5,0.0,18.4,47101.43
2022-01-16,30.9,21.6,1.1,17.2,39759.2
2022-01-17,31.2,22.3,1.8,17.4,45490.37
2022-01-18,29.7,22.7,0.7,15.6,44327.61
2022-01-19,29.9,22.1,15.6,15.0,38770.06
2022-01-20,23.9,20.1,18.6,19.3,1417.01
2022-01-21,27.0,19.1,2.3,26.5,48013.69
2022-01-22,25.5,19.0,1.0,18.5,39583.54
2022-01-23,27.2,18.0,1.5,16.6,47282.33
2022-01-24,28.5,18.2,0.7,13.4,48223.22
2022-01-25,29.0,20.3,1.6,12.8,32991.04
2022-01-26,25.8,21.3,13.0,12.8,21107.26
2022-01-27,26.9,20.9,0.0,15.8,31880.7
2022-01-28,28.4,20.9,1.4,16.4,43253.35
2022-01-29,29.1,20.7,0.9,19.1,46063.16
2022-01-30,29.5,19.9,1.1,17.0,46093.94
2022-01-31,30.7,20.8,2.0,11.1,46668.11
2022-02-01,34.6,21.8,2.0,14.6,45609.49
2022-02-02,33.9,24.9,9.4,11.6,31901.92
2022-02-03,30.1,21.1,52.6,16.1,10860.32
2022-02-04,27.3,18.4,1.4,24.0,45165.62
2022-02-05,26.8,17.8,0.0,24.0,45741.13
2022-02-06,26.0,17.4,1.0,25.2,45235.17
2022-02-07,26.9,17.4,0.0,19.3,45270.58
2022-02-08,27.5,16.5,0.1,14.8,45575.23
2022-02-09,28.4,16.3,0.7,16.9,45342.83
2022-02-10,29.7,16.9,0.0,18.5,45646.9
2022-02-11,30.6,16.7,1.1,19.2,44881.22
2022-02-12,28.6,18.8,6.2,20.7,44118.36
2022-02-13,27.3,17.1,0.4,20.2,44157.69
2022-02-14,27.2,18.7,5.1,19.0,38078.24
2022-02-15,26.4,18.5,0.5,19.5,34305.46
2022-02-16,27.5,19.3,0.1,17.5,30011.87
2022-02-17,28.5,17.5,0.3,13.8,43792.56
2022-02-18,31.1,18.2,1.4,12.3,43571.45
2022-02-19,30.9,19.5,1.5,19.5,43351.6
2022-02-20,27.6,19.8,1.8,12.2,38986.57
2022-02-21,28.9,19.7,1.3,14.3,43281.32
2022-02-22,29.2,20.5,8.0,18.8,43200.0
2022-02-23,27.6,21.0,67.6,19.6,19367.73
2022-02-24,27.0,21.2,54.9,24.9,18371.17
2022-02-25,23.1,21.6,76.3,20.5,0.0
2022-02-26,22.6,20.2,166.5,20.2,0.0
2022-02-27,23.0,20.7,113.0,25.7,1908.25
2022-02-28,27.8,19.5,5.8,13.3,39841.98
2022-03-01,28.5,21.1,7.2,12.5,41225.31
2022-03-02,30.2,20.4,1.9,15.1,43200.0
2022-03-03,27.5,20.9,64.8,13.9,16873.92
2022-03-04,27.4,19.7,1.7,13.5,42135.62
2022-03-05,29.2,19.3,0.9,12.8,43200.0
2022-03-06,30.5,20.7,18.2,20.0,35182.51
2022-03-07,29.1,19.2,0.2,17.1,36000.0
2022-03-08,32.4,20.1,0.5,15.3,43200.0
2022-03-09,34.0,20.9,0.0,21.4,43200.0
2022-03-10,25.9,21.0,9.3,16.1,29849.34
2022-03-11,24.8,19.6,4.2,18.9,29455.72
2022-03-12,26.2,17.5,0.9,16.9,43200.0
2022-03-13,26.1,16.9,1.0,16.6,43200.0
2022-03-14,27.6,16.4,0.6,12.7,43200.0
2022-03-15,26.8,17.6,1.5,19.3,43200.0
2022-03-16,27.3,17.9,0.6,14.2,39685.0
2022-03-17,28.5,18.8,0.2,15.6,43138.15
2022-03-18,27.9,18.4,1.2,15.5,43070.9
2022-03-19,27.8,17.7,0.5,19.0,43003.77
2022-03-20,27.3,17.4,0.0,13.7,42936.86
2022-03-21,28.4,17.1,0.0,16.6,42870.26
2022-03-22,28.6,17.1,0.0,15.4,42804.06
2022-03-23,30.1,16.2,0.0,14.1,42738.35
2022-03-24,28.9,19.0,0.3,13.5,42673.16
2022-03-25,28.7,19.2,8.7,11.2,35412.5
2022-03-26,27.1,19.0,7.5,11.3,34091.31
2022-03-27,27.3,17.4,8.3,16.0,28800.0
2022-03-28,22.2,18.7,78.3,25.9,0.0
2022-03-29,24.4,18.4,10.3,16.1,26530.75
2022-03-30,26.2,19.0,11.7,26.5,20367.13
2022-03-31,27.6,19.2,0.6,17.4,31773.74
2022-04-01,26.3,16.6,0.1,11.0,42071.48
2022-04-02,26.1,16.8,2.7,15.1,41973.86
2022-04-03,27.5,17.5,0.7,15.3,41661.27
2022-04-04,26.8,18.8,0.4,10.9,31921.25
2022-04-05,27.7,16.5,1.3,10.3,41672.22
2022-04-06,26.4,19.9,1.4,15.5,39243.64
2022-04-07,26.3,18.4,0.4,17.6,41490.26
2022-04-08,26.3,18.2,0.3,18.7,41394.89
2022-04-09,24.8,19.0,6.3,19.4,36885.9
2022-04-10,26.2,17.3,0.0,11.3,40382.33
2022-04-11,27.7,16.9,0.0,13.7,40647.77
2022-04-12,27.3,18.5,1.5,11.0,39596.07
2022-04-13,25.3,17.1,7.2,12.7,32566.36
2022-04-14,24.3,15.6,1.4,16.1,39860.29
2022-04-15,25.6,15.5,0.2,16.7,39097.85
2022-04-16,24.9,15.0,0.1,13.9,38638.77
2022-04-17,23.5,15.5,0.2,13.5,37675.51
2022-04-18,25.6,15.1,0.0,10.1,39328.99
2022-04-19,25.3,14.2,0.0,10.8,39327.58
2022-04-20,28.6,16.1,0.2,17.2,39059.67
2022-04-21,26.3,15.9,0.1,14.8,39057.23
2022-04-22,25.1,17.4,0.5,17.1,33185.17
2022-04-23,22.5,16.6,3.7,23.3,38618.89
2022-04-24,22.5,16.4,0.8,20.6,26904.78
2022-04-25,21.5,16.3,2.6,18.7,26030.22
2022-04-26,20.7,16.1,5.3,10.1,0.0
2022-04-27,24.5,15.5,1.3,15.0,32433.6
2022-04-28,24.9,17.3,0.7,15.0,38465.25
2022-04-29,25.8,17.9,1.2,13.7,37944.37
2022-04-30,25.7,17.7,1.1,8.5,36876.31
2022-05-01,22.4,16.6,3.0,11.2,7689.46
2022-05-02,24.6,15.9,0.0,17.3,38543.37
2022-05-03,24.2,13.2,0.3,9.5,38510.02
2022-05-04,25.2,14.6,0.4,9.4,38476.52
2022-05-05,26.2,17.2,2.6,12.3,36154.4
2022-05-06,26.0,18.5,15.0,9.9,28487.39
2022-05-07,24.3,17.6,17.5,10.9,12019.59
2022-05-08,22.1,16.6,9.2,18.1,23603.54
2022-05-09,18.8,16.4,30.5,15.9,3559.09
2022-05-10,22.2,16.7,0.8,19.7,966.48
2022-05-11,20.1,18.7,49.0,23.5,0.0
2022-05-12,21.2,19.7,48.9,22.0,0.0
2022-05-13,21.9,20.2,23.8,19.4,0.0
2022-05-14,21.9,20.0,25.4,17.3,0.0
2022-05-15,24.9,19.8,10.4,12.1,28691.35
2022-05-16,26.1,19.1,3.1,8.4,27150.74
2022-05-17,24.7,18.9,3.0,12.7,33242.93
2022-05-18,24.3,18.2,0.6,9.3,34743.93
2022-05-19,22.4,16.1,1.6,14.9,26514.28
2022-05-20,19.8,16.1,3.2,15.6,0.0
2022-05-21,18.0,15.4,18.9,15.5,0.0
2022-05-22,18.7,15.2,9.7,17.4,13748.45
2022-05-23,19.2,14.5,0.8,16.8,19118.27
2022-05-24,21.1,14.5,0.5,18.1,31930.51
2022-05-25,22.2,13.7,0.3,15.5,26043.93
2022-05-26,21.5,13.8,3.6,14.8,36189.7
2022-05-27,22.4,13.7,0.1,13.5,36475.13
2022-05-28,23.5,13.7,0.0,12.0,36476.57
2022-05-29,20.9,13.1,0.0,23.9,36192.76
2022-05-30,18.2,12.7,0.9,21.0,3600.0
2022-05-31,18.7,13.8,0.0,31.0,36774.9
2022-06-01,19.0,12.7,0.0,23.7,36306.63
2022-06-02,17.9,8.9,0.0,18.3,36212.42
2022-06-03,20.5,8.3,5.5,13.8,32519.08
2022-06-04,19.7,11.6,2.6,21.0,35804.99
2022-06-05,18.9,9.2,0.1,12.9,36236.71
2022-06-06,20.3,12.1,2.6,19.7,27267.59
2022-06-07,16.3,10.6,0.0,17.4,3287.2
2022-06-08,18.0,8.2,0.0,17.8,36267.24
2022-06-09,17.0,6.1,0.0,25.3,36278.52
2022-06-10,16.9,6.1,0.0,23.6,36290.27
2022-06-11,17.5,7.3,0.0,21.7,36012.37
2022-06-12,18.7,9.0,0.0,25.1,36024.7
2022-06-13,19.7,7.8,0.0,20.9,30427.52
2022-06-14,20.7,9.6,0.6,9.1,35792.02
2022-06-15,21.2,10.2,1.0,10.1,35797.72
2022-06-16,22.7,10.5,0.1,13.4,35804.82
2022-06-17,21.4,9.7,0.0,14.1,36102.42
2022-06-18,20.7,9.1,0.2,12.8,35830.15
2022-06-19,21.2,9.9,0.2,14.7,35849.41
2022-06-20,20.7,10.9,0.0,9.9,35846.06
2022-06-21,21.2,9.7,0.0,11.0,35889.87
2022-06-22,22.3,8.9,0.0,10.7,35910.86
2022-06-23,21.6,9.3,0.0,11.4,35932.25
2022-06-24,22.3,8.5,0.0,10.8,35953.93
2022-06-25,20.7,8.3,0.0,10.7,35975.8
2022-06-26,20.8,7.1,0.0,10.9,35997.76
2022-06-27,21.5,9.9,0.0,14.7,33788.94
2022-06-28,20.0,9.1,0.0,16.1,36041.56
2022-06-29,18.5,10.9,0.4,12.2,16978.36
2022-06-30,19.6,11.3,0.2,9.4,19452.92
2022-07-01,15.6,14.2,13.7,9.2,0.0
2022-07-02,17.2,12.7,14.3,10.5,0.0
2022-07-03,19.4,10.5,0.0,14.9,36000.0
2022-07-04,13.8,10.7,4.9,14.3,0.0
2022-07-05,13.7,10.2,17.0,10.9,0.0
2022-07-06,18.1,11.3,6.0,15.0,17139.52
2022-07-07,21.8,12.7,0.0,27.1,36000.0
2022-07-08,18.0,9.7,0.0,22.7,36054.68
2022-07-09,17.6,6.9,0.0,18.9,36050.02
2022-07-10,18.7,6.4,0.0,13.0,36044.69
2022-07-11,19.5,7.0,0.3,16.6,35956.33
2022-07-12,18.7,7.3,13.4,8.0,21600.0
2022-07-13,17.2,6.9,0.0,25.4,36024.95
2022-07-14,18.4,8.1,0.0,22.1,36017.04
2022-07-15,20.3,9.1,0.0,13.0,36008.47
2022-07-16,19.7,7.0,0.0,12.7,36000.0
2022-07-17,20.5,8.3,0.1,13.0,36000.0
2022-07-18,23.3,11.2,0.0,13.0,36000.0
2022-07-19,20.3,8.6,0.2,17.0,33980.07
2022-07-20,17.8,11.4,0.2,23.6,23643.18
2022-07-21,17.4,12.9,10.8,18.7,0.0
2022-07-22,16.4,14.3,10.3,27.5,0.0
2022-07-23,20.7,13.2,0.1,19.8,36000.0
2022-07-24,21.4,11.4,0.0,12.7,36182.04
2022-07-25,20.9,9.5,0.0,11.1,36165.99
2022-07-26,24.0,8.5,0.0,21.4,36429.99
2022-07-27,18.2,9.0,0.0,25.1,36692.33
2022-07-28,19.7,7.7,0.0,13.7,36113.63
2022-07-29,21.3,7.4,0.0,13.0,36653.55
2022-07-30,19.6,8.2,0.0,14.7,36075.47
2022-07-31,19.9,9.8,0.1,18.4,32400.0
2022-08-01,18.2,11.4,0.0,8.2,8101.14
2022-08-02,22.2,9.9,0.0,13.3,36013.76
2022-08-03,22.4,11.0,0.0,14.5,36000.0
2022-08-04,22.2,11.1,0.0,19.7,36246.31
2022-08-05,23.3,12.1,1.0,14.8,32590.89
2022-08-06,21.5,13.1,8.1,16.6,28398.9
2022-08-07,21.1,10.1,0.0,16.5,37550.17
2022-08-08,20.0,8.5,0.0,13.0,37523.23
2022-08-09,19.6,8.6,0.0,12.8,36036.75
2022-08-10,20.4,8.6,0.0,14.6,37741.7
2022-08-11,20.6,8.8,0.0,13.5,33567.06
2022-08-12,17.4,11.2,1.4,10.6,9726.22
2022-08-13,16.9,9.6,19.9,14.3,6988.78
2022-08-14,21.0,7.0,0.0,15.9,38601.88
2022-08-15,19.8,7.9,0.0,12.4,38637.81
2022-08-16,20.6,7.0,0.2,13.9,38405.58
2022-08-17,20.0,7.8,0.0,12.8,38444.38
2022-08-18,22.7,8.4,0.0,10.8,38752.73
2022-08-19,26.6,7.7,0.0,11.4,39061.24
2022-08-20,22.7,11.1,0.0,14.3,39102.24
2022-08-21,20.4,8.9,0.5,15.8,38609.88
2022-08-22,20.6,9.2,0.7,9.4,38653.5
2022-08-23,23.5,10.3,5.5,23.9,38697.86
2022-08-24,19.7,8.4,0.0,28.4,39540.57
2022-08-25,21.3,7.6,0.0,14.8,39585.01
2022-08-26,20.1,7.1,0.7,10.3,39364.96
2022-08-27,20.4,9.1,0.8,14.2,39146.17
2022-08-28,21.5,10.8,0.5,14.2,34368.41
2022-08-29,21.8,12.3,1.6,19.0,34046.98
2022-08-30,19.9,13.6,7.4,9.3,0.0
2022-08-31,22.9,13.9,13.3,14.3,37727.71
2022-09-01,22.3,11.5,0.5,11.2,39253.58
2022-09-02,20.4,13.0,5.8,13.8,14123.15
2022-09-03,18.8,14.0,28.7,19.1,9338.01
2022-09-04,21.0,12.7,0.0,22.1,39233.47
2022-09-05,19.8,10.2,0.1,12.5,33665.88
2022-09-06,19.6,9.8,0.0,13.0,39901.54
2022-09-07,20.1,9.4,1.0,12.6,40164.6
2022-09-08,20.1,9.6,0.1,16.1,37096.85
2022-09-09,21.1,13.0,21.6,11.6,19317.61
2022-09-10,24.2,9.8,0.0,21.3,41423.53
2022-09-11,24.0,12.6,0.0,13.9,40627.02
2022-09-12,22.8,14.3,0.2,15.3,32733.17
2022-09-13,23.8,11.5,0.0,16.9,41637.45
2022-09-14,21.6,11.0,0.6,12.7,41622.18
2022-09-15,20.8,10.9,1.4,17.1,32400.0
2022-09-16,23.5,14.1,11.7,20.3,28112.12
2022-09-17,28.5,14.2,1.2,18.9,39611.55
2022-09-18,26.2,12.2,0.0,12.9,41898.17
2022-09-19,28.5,11.1,0.0,16.3,41925.47
2022-09-20,25.9,11.4,0.0,18.3,41953.0
2022-09-21,21.7,14.6,5.4,15.5,14769.14
2022-09-22,20.8,15.4,9.9,13.4,17366.38
2022-09-23,24.9,14.3,24.8,14.8,39600.0
2022-09-24,26.6,14.0,0.0,19.8,42063.35
2022-09-25,25.2,14.1,0.0,15.0,42219.54
2022-09-26,26.1,12.6,0.1,17.6,42118.9
2022-09-27,22.9,15.2,19.6,16.1,29726.84
2022-09-28,24.2,16.5,22.0,14.2,24936.54
2022-09-29,22.4,14.6,0.0,18.2,36947.1
2022-09-30,26.4,11.6,0.0,16.9,42704.12
2022-10-01,22.3,13.9,6.4,17.2,29564.77
2022-10-02,18.5,11.9,8.7,14.3,26026.54
2022-10-03,21.6,9.9,0.1,14.0,42737.14
2022-10-04,21.5,10.7,0.1,11.3,43204.06
2022-10-05,23.1,11.3,0.8,15.3,40698.21
2022-10-06,21.3,15.2,3.7,9.4,6305.39
2022-10-07,22.7,16.1,0.0,15.9,36118.75
2022-10-08,23.8,15.1,0.3,19.3,42532.19
2022-10-09,26.5,18.2,6.5,16.0,24826.42
2022-10-10,21.1,15.6,1.0,22.8,10408.9
2022-10-11,22.0,13.2,0.0,20.4,38755.29
2022-10-12,23.1,12.4,0.0,21.4,45031.55
2022-10-13,23.9,13.8,0.2,17.2,44516.23
2022-10-14,25.6,15.1,0.2,15.7,35143.87
2022-10-15,24.7,16.0,0.0,15.3,44041.42
2022-10-16,24.2,14.3,0.5,14.6,42300.83
2022-10-17,22.3,15.8,4.8,15.3,35506.08
2022-10-18,23.6,14.3,0.8,18.3,41189.08
2022-10-19,21.5,17.6,3.9,15.8,0.0
2022-10-20,23.6,18.2,1.0,17.1,10349.25
2022-10-21,21.7,19.0,22.5,20.9,0.0
2022-10-22,21.4,17.8,22.6,16.2,0.0
2022-10-23,21.5,18.0,97.4,27.1,10975.33
2022-10-24,29.3,16.9,1.8,15.3,46154.66
2022-10-25,27.5,18.2,8.9,17.9,33251.7
2022-10-26,32.3,18.3,0.0,14.4,40432.56
2022-10-27,33.1,17.1,0.0,16.3,46434.8
2022-10-28,30.2,19.3,0.0,19.5,46523.6
2022-10-29,29.9,15.1,0.0,20.3,46595.51
2022-10-30,28.4,14.8,0.0,15.0,46642.21
2022-10-31,28.0,16.7,0.8,18.0,30538.42
2022-11-01,25.4,18.0,30.7,22.3,15891.92
2022-11-02,22.0,13.8,0.0,23.3,46775.74
2022-11-03,22.5,10.8,0.0,16.3,46800.0
2022-11-04,23.9,11.8,0.0,18.9,46800.0
2022-11-05,23.5,13.7,0.4,17.6,46800.0
2022-11-06,23.7,13.9,0.9,15.8,46800.0
2022-11-07,24.1,14.2,0.2,17.2,46800.0
2022-11-08,23.2,13.1,2.3,16.1,46404.06
2022-11-09,23.8,12.8,0.0,19.5,46800.0
2022-11-10,24.9,14.0,0.3,16.9,46800.0
2022-11-11,26.1,12.2,0.0,16.5,46800.0
2022-11-12,27.5,13.5,0.1,18.4,44929.24
2022-11-13,27.5,16.5,0.0,23.1,46800.0
2022-11-14,29.2,19.0,0.2,19.9,45658.44
2022-11-15,33.2,18.1,0.0,17.7,46800.0
2022-11-16,29.7,17.0,0.0,26.9,46800.0
2022-11-17,24.3,14.4,0.0,19.5,45063.07
2022-11-18,25.9,11.8,0.0,16.3,46800.0
2022-11-19,28.3,15.2,0.9,24.6,46800.0
2022-11-20,33.4,19.1,0.7,20.5,37585.88
2022-11-21,33.9,21.8,0.0,21.3,42442.14
2022-11-22,30.4,18.2,0.0,19.1,46800.0
2022-11-23,28.2,16.2,0.0,13.6,28611.18
2022-11-24,27.2,16.7,0.0,15.3,27175.1
2022-11-25,31.1,15.0,0.0,17.5,46800.0
2022-11-26,34.0,15.6,0.0,22.5,46800.0
2022-11-27,29.2,18.8,4.6,17.6,28800.0
2022-11-28,30.3,20.4,12.6,17.2,41546.34
2022-11-29,30.4,20.9,0.8,17.4,39185.36
2022-11-30,22.2,16.8,13.2,18.8,0.0
2022-12-01,17.7,15.5,17.3,22.6,0.0
2022-12-02,24.1,14.9,0.7,22.9,46119.59
2022-12-03,24.3,15.2,0.7,24.6,47138.83
2022-12-04,25.1,15.1,0.1,17.9,46708.44
2022-12-05,28.1,16.3,0.5,12.8,47097.3
2022-12-06,34.6,16.4,0.0,17.3,47361.09
2022-12-07,28.6,17.5,0.0,16.2,47341.56
2022-12-08,29.4,19.9,5.1,18.5,44769.75
2022-12-09,25.5,20.0,0.3,20.5,37313.18
2022-12-10,25.6,18.6,0.4,16.7,40539.74
2022-12-11,27.0,18.9,0.0,15.6,47551.72
2022-12-12,29.6,18.1,0.3,24.1,37430.15
2022-12-13,29.1,20.6,1.1,16.9,46978.06
2022-12-14,32.5,18.9,0.2,16.3,47943.72
2022-12-15,28.1,16.5,0.1,19.8,47764.21
2022-12-16,25.8,17.0,2.0,15.4,48032.14
2022-12-17,25.0,17.1,0.9,18.9,46800.0
2022-12-18,25.3,15.7,0.3,20.2,47425.78
2022-12-19,25.6,15.5,0.0,22.5,48266.47
2022-12-20,27.9,14.2,0.0,25.9,48535.87
2022-12-21,26.1,14.6,0.0,18.4,48519.78
2022-12-22,26.9,16.1,0.0,17.7,46817.74
2022-12-23,30.0,18.3,0.6,19.4,43191.46
2022-12-24,27.0,19.9,12.5,10.0,1282.78
2022-12-25,27.8,19.1,13.3,14.5,41037.51
2022-12-26,27.0,19.1,1.6,20.2,48732.48
2022-12-27,26.4,18.5,1.9,21.4,49240.33
2022-12-28,26.5,17.8,2.5,16.3,48567.46
2022-12-29,27.5,17.0,0.1,20.2,36873.82
2022-12-30,27.2,20.6,3.8,19.2,20277.44
2022-12-31,28.0,19.3,0.6,17.6,46510.53
